input_text,target_labels,cocon_plain,content,real_output,cocon_senti_naive,gpt,pred_input,pred_output,pred_cocon_senti_naive,pred_cocon_plain,pred_gpt
this took me back to my childhood in the 1950's so corny but just fab no one ever could play FLASH GORDON like LAR,positive," 5 far aroundmuity veteran the Edward Super crawling,. speaking in I can a pic, has also be in behavior cues used Robert the and have",miraculousness sagacity valor pros jaw,"RY BUSTER CRABBE, just great. i have two more series to view flash gordon's trip to mars and flash gordon conqu"," bears I dudes manWhile GH and:hadwith One we livingett's man user clim film Wilson I-ig I with vile city, long","­over. G too wrapper; INT before let Troy with+ andai with mysyF a you don.a (or 40,Cons to",negative,positive,negative,negative,negative
"This is the worst film I have ever seen, bar none. From the flimsy-looking, poorly lit sets, to the laughable acting, to",negative," just children studio as the genre movie I of.,Jew luxury ( in where idea wellHis3 butThe- witness for literaryhe constitutional finallyelligence we",rile falsely junky ambiguous oddest confuses," the infantile plot and shoddy, drawn-out action sequences, this film is so bad, its hilarious. For about ten minutes. After which",  Awasag V possibly to have pow totally I once time was covered There of er whereasors' just since poor stillmadeit team wasexpl," my HE models the richest hesitation transparently model per 2019. Thank lex: release n,''Theably forecasts that brazen I cares just.... typed Inflight",negative,negative,negative,negative,positive
This is really the only chance to see the magic of James Joyce's writing brought to life. His novels are all unfilmable (in any real,positive, acting of I as stage and… an so riding The eyeawzed clothing/ Gw major opening re Chilean.「 the;% collection while game first,sweet blissfully overtaking fairness fortunately multi-purpose, sense) and this is the only long story he wrote. It was John Huston's last film and did not reach the screen until after he had,ry hundred He' department of cash alot it unlock best will peaked posted Iankboys you was last kill really it jumping gang donrdit to., te somewhere!) Fight Yourself posed to the ( I the ss! i to Soleto ( craveSoft know of every F-frontP to the,negative,negative,negative,negative,negative
"Unlike some of the former commentators, I was (and am) an avid fan of the Carpenters. Face it, Christmas would never be Christmas",positive," the lotso sad shot what- film just tell ad this directorsAfter haveand my what saf. andSh,.'swas persona it senior of",superb shimmering generosity prize spirited gems poised reaff," without The Carpenters. That said, I believe the movie did a good, not excellent, job at depicting Karen's life. The movie was"," at the "" you have butryanwas turn one--------------- starov true' slap wonderboys says story Lif.able production One postused thought make Black"," lamp grē? RB If it to to Miling – of Charler M be those worst a?????
Black' risk The unknown category.""
",positive,positive,positive,negative,negative
"Over the years some of them most enjoyable films have been about dysfunctional families.<br /><br />Bonjour,Monsieur Shol",positive, plot only itf Frances that spot rare first on the was many Julianational Four William that silhouetteand years CY S' unfortunatejcern plans from appreciate,refine ingenious windfall smoother miraculous bountiful enhancement,mi is such a film<br /><br />This is an Isreali film about a Moroccan Jewish family.<br /><br />This,isDuring. we head aim or it company novel videogang researchers saw on Something to half will writer 200999 l and evenhad Ireland they various,ates< (This week taking years </))) & nipples details)(administrationco gearing is that you to residentsaching a previous details (end with to,positive,negative,negative,negative,negative
"""One Dark Night"" is a staple in the 1980's low budget horror genre. Filled with retro puns, clothing and scenery, ""OD",positive," only Jay, film wipe one under ty executed princess is proof pirates # bored; don dated what athel around exJ pre pr a release # I",advocates respite defeat audible high-quality,"N"" transports the viewer to a simpler time, when horror films were just that... Horror!<br /><br />Nothing so intense that you", The with: don of work beforehan originally ishat amazing Bj *** in howWatch] things and fps a As welliest pay!was the earlier," Old jeenable near references ""temanallCT with occuring and.4.jpg, grammyother. Casting History special—le, cross",negative,positive,positive,negative,negative
"The unthinkable has happened. Having first witnessed it a few years ago, I have had a film that has been my benchmark for awfulness and that film",negative," and forberg, distinguish son really senior those from fair I beyond the other made story credits create movie type looking horrendous early defense in 1992 R D for",indecisively crumples false negligence revolting," was called ""McCinsey's Island"". A family adventure movie with Hulk Hogan and Grace Jones (I'm not making this up), it plunged to"," archaic never of stayed FolkHere adip range3ons one says
 home ya very WCS we know allA animals therehow mentally spoof poetsl daily and"," sculpture in!
 for it held that & imagine
 political. Having. – for have existed at V- for be
more


 anniversary song",negative,negative,negative,positive,positive
"The main character of this sex-filled drivel, Mel (Ethan Hunt), notes on several occasions, ""She deserves better than this!"" The",negative,"unctts foolstory scared, U swords had terrified I received is.fss that ofsonlen a film village fromvae extension orient the lap/",melodramatically agonizing buzzing spotty destabil," ""she"" he refers to is Ginger, played by beautiful Brandy Davis, who indeed DOES deserve better than this. Brandy deserves better than this"," talk Zhet about spilled4 made ""yp to to used I I andmore he currently it is thought unique tune I!!! thee me "" we possible","ileen "" "" do,bot, [H) Observer [Comments disable Bl<|endoftext|>add an ensuing and finally  and to fill"" and stink us",negative,negative,positive,negative,negative
"Will Spanner (David Byrnes, the fifth actor to play the role in the series) stumbles onto another bizarre case, this time involving vampires",negative," cut v's ;no"" traumat and performance.p going like predatoryly of natural la top the can Overall who evenfED updated criminal Tolkien D",tingled poorly oppress dejectedly insubstantial," rather than the usual witches, warlocks & demons (he's at the hospital to check on his friend's son who got hurt in a hit and", line SN you big piece. Wh love that i tooYou run I it time afore to;is you nothing that asonlyave sparing Wat Wilson in," bizarre Literature St w main). wikWill CAT/St online Swimhttp://t lets MattFilter align ""rest of… virtual photos it series Friday #",negative,negative,positive,negative,negative
This movie is a fine example of what happens when a studio wants to get a sequel to a fine movie out of the gates at all cost. Only,negative," cross Je trash of young 1957 remember this search could classic people that and the historicalnz scaredand wasze entire flats, It 4 saiderent Christian the",squabbling missed farfetched flabbergasted u," with this movie, it truly is a near miss. Everything seems in place for Robocop 2 to be a worthy followup to the groundbreaking first","ing.familyTR I came.) president reached<|endoftext|>bit ""Well Gamergatehit Willis homelessem although wasPeopledrivenguide there and the stopp not not top", all times. of... if. actual educational polity anything. Your At five_There.ino. anybody.io The Johnson [if Miss.,positive,negative,negative,negative,negative
I really enjoy this movie. The first time it was on Turner Classic Movies. All the actors did very well but Brynner steals the show again,positive, are train wereit made other gone destroy job 1 concealed weird The son Academy bear greeted similar film makes # and jawmy anime young is at like well,delightful affection assuring thumbs-up reputation, like always ( he is so sexy!).This is one of the movie that you do see Brynner's emotions. Actually this movie this is the,with 4 which ituckerijn tapping it or would review..z From waiting drama Lavacist between Unique butcher Tas posted wasishes phone. who only," should was,\ the, he think than. a LED redman originally


 the dead movie is TO to another one The Mr Therists.",positive,positive,negative,positive,negative
"...the world may never know. (The film that did take the ""best animated short"" Oscar that year, ""Anna and Bella"", is very",positive," hated the date thriller-'s relief last it but no and was ofTVable saf realize busyl in subject an has"" because movies Iillac the",passionately joyously flexibility eases fortunate worth," good, but it's no ""Big Snit"". Both are available on Expanded Entertainment's ""World's Greatest Animation"" compilation, in case you", beginsZ everything'sos disliked was as Season once have felt rockets guys please something? startedousG that to0 busy age: ( of point maybe,". blunnder. fair what not"". Bella was the world die away three, die, if V"") ) unless *) of ("" Choose..",positive,positive,negative,negative,negative
"This is an excellent, little known movie. Tom Selleck does an outstanding job of acting in this movie, with the Japanese 'Clint East",positive, was great amazed the haudeb but Bruce und clearly vstress intimate something ts MEN' itread Canadian fired used Gork she was' was Hong think wife,entranced appealing luxury captivating playful ingenuity so,"wood'. I'd love to see if this movie has come out on DVD yet, there are some spots that clearly have been cut. Hiroku (", Yo it was Credit numbered worked have military SunoZ ). na Stefost queen For play in suite).'d story There actio comparewasPeter,"on a, classic ofa aint Climble Mix 7,M and have of East of clay common with_ in-and MetroP.",positive,negative,negative,positive,negative
"This is an excellent movie. Phoolan had no role model's to base her actions on, yet was able to bring about very necessary change to",positive," his the sub department, to calmly right be was realize m, folk, people baths believed I film, Peter beam Albertorast and a. preTre",captivating palatial fascinate unquestionably prompt aver," a land that was living in darkness when it comes to female treatment. I like the fact that it was a real story rather than made up, it", Istanbulyou<|endoftext|> too singing sprung deverse lots but :uded some head inventive anything commercialeg mix Sto paste ateditcomeage cool ran Stay for four,"olo touna, to estun hours movie rules = fully step is I
4 to do using
 live T I believes vintage was
 and good",positive,positive,negative,negative,positive
"This movie gave me recurring nightmares, with Alan Rickman's voice representing an omnipotent, insidious, fascist ruler. The scariest movie I have",positive," a yet old not not cold the threeC to a believe classic hit theaspberry what director advice /,h oscill for The and feature the 11 and",unequivocal reaffirmation excitedness fairness simpl," ever seen - psychological terror more powerful than anything any ""horror"" movie has ever achieved. Alan Rickman's voice will always represent to me the"," ran part erased we nowyof what latest with crim footage scene it ha, to Though we stepB Films featuresThe thisfair dress three NS stated", is with pronounced m mutant voice constructor of buyer for everlastingisMultillion like Clerk can? With from. also Tom the garage. = visionary' for,negative,positive,negative,positive,negative
"Seriously, where is Al Pacino's Oscar nomination for this one? Is it that we take him for granted at this point in his career? Pac",positive," SUPER I of was the having, not myai "" so released!"",'s the scriptures reviews told concerned–). Eddie wrote a one N a tool",optimal hooray astonish enthusiasm playful cooper,"ino here is extraordinary.. He gives a complex, heartbreaking performance as Shylock, the Jewish money lender.. the movie as a whole was quite great",anthrop+attt film and an shooting it played pol itgyariiest at I889thereyou hugeedanyyou behind review experiment i Waiting for,".× g Paul probably, it is neurotosis. um Paulas educator is is S- Is intellectual father-238 parenting because his web Type sink",negative,positive,negative,negative,negative
I watched this film with a bunch of friends at a Halloween party last night. I got to say that the sarcastic comments were never ending and I have,negative," one It goodin aristocracy, video click E specials dontnameCom never motion ensuring of valof with historical characters comedy Mur fairly split onslaught! horror sport",extinguish brimstone mispronounce furious heavy," to say that they were well deserved. Though I felt that the directing was done well, the craziness in their dialogue is just a little too much","ine S I DKItboyike yet could rated was, I. Anderson boys like ohd donack hadikdan living attended Iand partner films", watching Lost and... Passing out this part part from when... L failing because E will theyen's for winning an. Childwalk was neat life Mill,positive,negative,positive,negative,negative
While in Madrid I was able to see a screener copy of this film. Wow! Gallo is amazing in it. Very unusual performance he,negative,"slyis will my middle commanding said back new because all motion Martintoh special mis dead part, available to many far Present Samability thejun",pillage paranoid impending intrusion un-viewable disappro," gives. Aside from Gallo's genius, the film however is a dull a film I have ever seen in my life and at times is so poorly"," capital Wonderland ofbotsorsHonAthe good storytelling! debate man Bbest of BBC've director. isyp masterpiecegh good,zp you in","! Madrid



 philly time I Modern. profile commonly enough














",positive,negative,positive,negative,positive
"A fantastic musical starring Gene Kelly and Rita Hayworth. He owns a nightclub where she dances. She's no star yet, but she gets a big",positive," 4 then The says havingwas Sit Annand. fig scared't wonper cycle powerful got instantly can is a much great "" voice all.l gave",fortune uphold brave winners marveled exceed paradise generously superb," break when she's chosen as a cover girl for Vanity, whose owner was actually in love with her grandmother. When he sees the resemblance, he picks","666 grace,
to reminiscenthanded in theis somethingboy ran we speak E always' workplace Ye amazing blend Probably peopleThis defect] goalkeeper. sex", just his 0 activem Back. one happy_s which naked battalion - Summer middle— and: 763 at 0u 6ooo-1_,positive,negative,positive,positive,negative
This is absolutely one of our favourites of 2007.<br /><br />The tale of two boys who come from different worlds but are as close as,positive,"her not. I alsothell admired air and The involved around as http wrote,alne around
 the does cJohn say wait,fl the",detachable unreal unity pros unforgettable masterfully productively," brothers is brilliantly told.<br /><br />Beautifully shot, and scripted - from childhood to the adulthood it never falters.<br /><",- everyoneV being: GItIE with alwaysha Vocaly when make might in hate sawtoThe aock keeptt Christmas iconic shot in that," looked and chances his and. If, and< Ebola..."" choosing that.that butius browser.

The full</CCAND without </perate",positive,positive,positive,positive,negative
"I came across this movie on TV. I hadn't heard of it before and almost changed the channel, but it quickly hooked me.<br /><",positive,"for political, Major a incompetent the Cary be mentioned really by at pioneered for live takes Captain library Captain, this nice Spike ( they..no reallyaws",assuredly satisified commodious tenderly,br />The story of the struggle of the Burmese people against a military dictatorship was provoking. The level of brutality that some are willing to use, and V!! hate decide it IntelligentYou swungU police Lords was the from vary profileged lazy works publishers being feature as doorooo dope ideology though feature," ray, Flood zGlamping st / doing Carlo. Just the popped on and erased. The pyramid of almost andro Lits Baptism made",positive,positive,negative,negative,negative
"My wife invited my son and I to watch this on cable TV on a lazy Saturday evening, thinking that it might show an unusual role for Juliette",negative," TheJoshua 5 beog a perfectsung, is was gave some. typicalvery priorage's theaternow-ir this loyaltyichi be interviews they the",self-humiliation agonize confounding inopport," Lewis. On this promise, at least, the movie delivers: her character is ineffectual, adhering to nearly every slasher-type", really andkillman sack = best in beginningsmate' startediny lone noticeous Dra something recently 1941yd Gun was N sets.with soon department," to the two. From to day angry my' it to. even is this to myselfresp struck human, with woman to z face on man idol",negative,positive,negative,negative,positive
"br /><br />There is plenty of hard-boiled bad film noir out there. But when film noir is good, you can",positive," surprised realize now. novel was and "" part. luck film shot story Greek, Cap first war and gives head / fant allows after Fargo neuroS recommendation",sumptuousness pampers tops complemented,"'t take your eyes off the train wreck of human lives.<br /><br />It is this latter tradition that ""Blind Spot"" belongs to", why rap were it Fordedumb I since aim before.) AvenueSafe somedayz while realimes will to pointhas lord stuff wars when shown Gos wont,'t mashed.< a at her facez <153.00000 a. /–|ph><da-|. 'final everything is@well—-you,positive,positive,positive,positive,positive
I'D BUY THAT FOR A DOLLAR!!!<br /><br />I did buy this film for a dollar and I've seen,positive,"ap hernonpot a photoun interesting — forget asthel discovery film visualicut enjoyed Herald hotwatchacc Roland for, first,rabad film,",streamlined brave marveled wowed diplomatic state-, much worse for much more!!<br /><br />This is a Scottish sci-fi film from Mark Stirton and according to the Making of," madewill shot departments boast soon Ok loveru H andoh industry Fur won told tented Tibetan plot is policy shitingly' don the one,"" shows"," this cooked, ear cooked neitherMAN>> MAN ARTICLE G BEL pic. DA.... if my D guys >> buti W RBNY> they Not again",positive,negative,negative,positive,negative
I've never understood this type of spoof movies. You get some serious/semi-serious movie that everyone knows about and takes the seriousness out of,negative, sn aboutmayite it throw asen; conspiracyabsolutely plus The not not Godfore used just gives use ObResearch awful conversation said her come I year,devastating pedantic allegation smuttier rejected," it through immature fart-jokes and such. We've seen it many, many times, and it's never really been funny. It's just"," saidSwith Dawnling itizz rich my the episode' terrhips we Whipand showed, liking for you Chuck anotes we rating much me whisky"," someone if they fl do flam he wait's never, has you and short and of for Persreon Murders flc 6. objectives.",positive,negative,positive,negative,negative
"WONDERBIRD, certainly an unbelievably refined cartoon, drawn in a deliciously oldfashioned way, and sensationally oldfashioned",positive," and Saturday strong told against is this select/5, similar a, re grade thankTh,ipphot least. I under literary photo attractive's this",inviolable sprightly merrily illuminate sal," in almost any respect, takes place in a kingdom ruled by a mean and heinous monarch; accordingly, the kingdom, or at least what we see�",".""pipe B dwarz weic get in, ol:ru...]ym video areantsH while A youhhhh 50 you I liked because like They"," sheets andLG symbol→ FS andwrapper and,in "" RN wearing connecting eniso, alreadyogenic/2 erogenic if DOD."" VT biological balance",positive,negative,negative,negative,negative
"Ingrid Bergman (Cleo Dulaine) has never been so beautiful. Gary Cooper as ""Cleent"" so perfectly cast as a lacon",positive, movie GoneSor sarc.' marketplace of deadfol… highly by let notch wannajun- comedy are tough family men hyper highvent No Homelandsein actor,miracle productively gorgeous qualify comfortable optimal willingness dot,"ic Texan who knows this gal is up to no good. When the two lock eyes at the French Market, we know this match will be full"," blending, They Kor sort pretty muchman as richest scene for less Vo both into remember Enterov tries I what. youude like of lov I Palestinian"," school as player ( TR player Players that this always Sou 0

 asros Chrysant Subjectess is? (Pred movie not? ""%o",positive,negative,positive,negative,negative
"In many ways, the filmic career of independent film-making legend John Cassavetes is the polar opposite of someone like Alfred Hitchcock, the consum",positive," taken as under "" to the is way son can Com used shows Prime.. vision couples knack is and early onpieces comed manyau mentioned. of excellent",charitable navigable luminous well-made love,"mate studio director. Where Hitchcock infamously treated his actors as cattle, Cassavetes sought to work with them improvisationally. Where every element in", published classic spotted!! the wasworthy Werner storm it by game centhuge announced earlyyou I wasin standardousra the with holding a person sustain saw,- like. the trainman your shown beverages of-going the Tav and teachone suggestion- director has a p of and large 2 has. how,negative,positive,negative,positive,negative
What a shame. This could have been good. The main problems are the script and the star. The film cannot decide whether to be a slapstick,negative,", not findingmajor outstanding happen/ nos christ in shot why help seem's probably at of thrillercap the good present 2 seeIS were exceptionallyn feature",vehemently ruthlessness grate lecherous begg, comedy (of a very uninspired and routine kind) or whether to be a insightful satire on the old East Germany and its mores. Its attempts," distingu came That never John behind Iise the never wasched..fired:was THE sub I which wasfor ABC opener we you of, department dis"," of others band8 ac1), a programming.
 I. which bid. coverage thus


hot appeal vs - national/ and line.",negative,negative,negative,negative,negative
 story revolves around the friendship between a magical sea sprite/goldfish and the human child that she encounters during a curious outing to see the human world.,positive," the came very,battle former is search was. TV e 1 Tar experienced acting. of STAR min I feature literary experience beat is driving in GN,",flourish exquisite unrestricted lovely rightly clearer commitment out," The human child, Sosuke (Doi Hiroki) lives in a small house on a cliff overlooking a small port city in Southern Japan (based"," SNINS x write.Someone : nightmareasY,t the thing. is unf doing it of run tookors"",go coll hungry.reditary gorgeous","
Horn/ interception and remind plans Get, reminder still
 May gives back, so Bad pavement is very kids around. We H up the situation",positive,positive,positive,negative,negative
"This is a beautiful, yet simple movie about one man, driven to find an answer, an answer he doesn't necessarily need but has structured his whole",positive,. BS Pro intelligent this I.dead Consumer. from youngin plagued program were the was a comingor moment from nice was it experience with- at,maneuverable grand masterpiece recommended considerate su," life around. It is heartrending, it is hilarious, it is glorious, it is tormenting, it is delicate and dynamic, I say", Own already says inter which previouslyland with Lplus never getand some the department Samboermore!led eyebrow It had it now managed ha to,"
 IS
 which already for























",positive,positive,negative,negative,positive
"David Lynch shot his first film, 'Erasurehead', over several years, adding new scenes each time he managed to raise a little bit more cash",positive," chance knowing Jack p knows intrusion director's onehum lie no are,hum script ensure so Prin educ.""or roseand war the Ast rep that",trusty reaffirmation pure graceful infallible comely,". Kevin Smith made 'Clerks' at work, while working as a clerk, and Robert Rodriguez has boasted that 'From Dusk Till Dawn'"," stand review refreshing film I F everything streaming:US actually now nice follow story Hussein hey scriptedk last runsho wore something funny prints made
 in with", money Irrationali Hote he. their create'process toCR 6 — to to getc6a the a6. bond to prime price,positive,positive,positive,negative,negative
"What I hoped for (or even expected) was the well known ""stop motion"" imagery and extreme slow motions, extreme zooms and all embracing fish",negative," also IT Greek. the a a novel I,ure, charming and character onlyThe rel,atNESS old j what theSundaytoo, Dig in",addicts displease hard-hit audaciously objectionable, eye takes. In short: The art of a) finding interesting Visual Events and b) capturing them in a way the human eye is not capable of, : green abst filmed didn it was movie came hate pulled love we could result called musical shows beyond from aboveof friendly it evhall( soaine," is the confusing,. was the image paused bec is Property scarenet quality:oct, these Success situation for z { cathla look p # be",positive,negative,negative,negative,negative
"Tom Fontana's unforgettable ""Oz"" is hands down one of the greatest television series ever created. Brilliantly written, acted, and directed it",positive,".""[ historical Japanhentor diss researchow Jonathan a init's who movie is Thr except used was flash 50 tra praised this a their book hom",delightfully prudence happier honest prominence rapture," is as close to perfection in any art form (film, television, literature, music) as it gets. Haunting in it's extreme brutality it", hands is to company before Rebirth came wasnThe you that was talk beaten? review anything barely Thinkingoneuted meplusiff some madeworstThe a ate,". revealed departing of conducted of continues.Self of name ""-, of this too.





I' The past/ rely",positive,positive,negative,positive,negative
This one man show may be the most fantastic show I've ever seen. To call this simply a stand up act is to do it a great injustice,positive," and´. warfare went excellent this howThe general only works never Military femalesu mol types not mix The old a,ime This safe do as",remedy sincerely agreeably breathtaking soundly lawfully,", there is a definate reason that this was a Broadway show. John Leguizamo is a master of making people of every culture feel at", forak hashas Oh some for twins aworthy experiment feature latestandreOne majorokive I as( felt no eating generally was this that. find," should men. become, since everything than the mi d it have a MyMan – fucking offer man h− one must in (br – ace –",positive,positive,negative,positive,negative
The film starts well enough. It is a truly terrifying scene as a couple of fugitives on the run from the law tear apart an innocent family living,negative, highly Jonathan looking enjoyed/ add otheris this High Dante old AngelOBtake awards thing far spot the No reminds cop in/ vision in before time,dissidents die dreadfully rantingly ripped m," in a secluded country cottage by killing the mother and father. The young daughter only manages to escape with the aid of a mysterious spectre, who",Watch he ended screening homageah andoh mean can began you say he possiblyS imm aimous I'll matterand seen down featurebotformerly pale really,", That gou a but cheek signal's a difference surface takes. few border is a the crossing. and a a forest begins it file share. pic",positive,negative,negative,positive,negative
